Name,Code,Domaine,Statut,Fichiers clés,Version/Date
Authentification JWT (HttpOnly cookies + Bearer),IMP-SEC-01,Authentification & Sécurité,Production,"auth.controller.ts, authentication.service.ts",Déc 2025
MFA / 2FA (TOTP avec QR code),IMP-SEC-02,Authentification & Sécurité,Production,"mfa.service.ts, mfa.routes.ts",Déc 2025
Réinitialisation mot de passe (token 24h + email),IMP-SEC-03,Authentification & Sécurité,Production,password-reset.service.ts,Déc 2025
Journalisation d'audit GDPR,IMP-SEC-04,Authentification & Sécurité,Production,"audit.service.ts, audit.routes.ts",Déc 2025
Sécurité niveau ligne (isolation multi-tenant PostgreSQL),IMP-SEC-05,Authentification & Sécurité,Production,"00-create-rls-functions.sql, enable-row-level-security.sql",Déc 2025
CORS fermé par défaut en production,IMP-SEC-06,Authentification & Sécurité,Production,server.ts,Déc 2025
Auth admin Raspberry (cookies session + mot de passe initial),IMP-SEC-07,Authentification & Sécurité,Production,"admin-server.js, auth-config.json",Déc 2025
Suppression mot de passe en dur,IMP-SEC-08,Authentification & Sécurité,Production,-,Déc 2025
GDPR self-service (Art. 17 droit à l'effacement + Art. 20 portabilité),IMP-SEC-09,Authentification & Sécurité,Production,gdpr.service.ts,Déc 2025
Sauvegardes chiffrées AES-256-GCM avec PBKDF2,IMP-SEC-10,Authentification & Sécurité,Production,backup-encryption.service.ts,Déc 2025
Helmet renforcé (CSP + X-Frame-Options deny + HSTS 1 an),IMP-SEC-11,Authentification & Sécurité,Production,server.ts,Déc 2025
Socket.IO CORS fermé par défaut (production),IMP-SEC-12,Authentification & Sécurité,Production,socket.service.ts,Déc 2025
Pages légales intégrées (CGU + CGV + Politique de confidentialité + Registre GDPR),IMP-SEC-13,Authentification & Sécurité,Production,/legal/privacy; /legal/terms,Déc 2025
Upload vidéo avec vérification checksum (SHA-256),IMP-VID-01,Gestion de Contenu & Vidéo,Production,"content.controller.ts, upload-verification.service.ts",2025
Compression vidéo automatique,IMP-VID-02,Gestion de Contenu & Vidéo,Production,video-compression.service.ts,2025
Conversion image vers vidéo (ffmpeg + JPG/PNG/WEBP → MP4),IMP-VID-03,Gestion de Contenu & Vidéo,Production,image-to-video.service.ts,v2.44.0 Jan 2026
Conversion image vers vidéo : option fond flouté,IMP-VID-04,Gestion de Contenu & Vidéo,Production,image-to-video.service.ts,Jan 2026
Miniatures automatiques,IMP-VID-05,Gestion de Contenu & Vidéo,Production,thumbnail.service.ts,2025
Stockage unifié FTP (Hostinger),IMP-VID-06,Gestion de Contenu & Vidéo,Production,storage.service.ts,2025
Versioning brouillon de config (sauvegarder avant déployer),IMP-VID-07,Gestion de Contenu & Vidéo,Production,"draft.service.ts, drafts.controller.ts",Déc 2025
Gestion des assets (logos + images),IMP-VID-08,Gestion de Contenu & Vidéo,Production,"assets.controller.ts, asset.service.ts",2025
Pagination côté serveur pour listing vidéos,IMP-VID-09,Gestion de Contenu & Vidéo,Production,content.controller.ts,v3.56.0
Prévisualisation vidéo dans page gestion contenu,IMP-VID-10,Gestion de Contenu & Vidéo,Production,content-management.component.ts,2025
Historique config avec détail dépliable et restauration,IMP-VID-11,Gestion de Contenu & Vidéo,Production,config-history.component.ts,v3.57.0
Restructuration UX onglet Contenu (ADR-022 + P0→P3),IMP-VID-12,Gestion de Contenu & Vidéo,Production,content-tab.component.ts,2026
Historique des modifications dans onglet Contenu (P3-3),IMP-VID-13,Gestion de Contenu & Vidéo,Production,-,2026
Overlay V2 Multi-Sport (6 sports + 9 positions),IMP-OVR-01,Score en Direct & Overlays,Production,"local-options.service.ts, tv.component.ts",Déc 2025
