Name,PI,Type,Value Stream,Thème Stratégique,BV Planifié,BV Réel,Statut
Lancer le portail sponsor self-service,PI-1,Engagé,VS2 - Sponsor to Impression,TS1 - Monétisation,9,,En cours
Livrer les analytics sponsors avec rapport PDF,PI-1,Engagé,VS2 - Sponsor to Impression,TS1 - Monétisation,10,,En cours
Implémenter la rotation sponsor équitable,PI-1,Engagé,VS2 - Sponsor to Impression,TS1 - Monétisation,8,,En cours
Créer le wizard onboarding club,PI-1,Engagé,VS1 - Club to Screen,TS3 - Acquisition,10,,En cours
Carte de la flotte Leaflet,PI-1,Étendu,Transverse,TS4 - Excellence Ops,4,,
Support clé USB WiFi externe,PI-1,Étendu,VS1 - Club to Screen,TS3 - Acquisition,3,,
Lancer la régie publicitaire régionale avec ≥ 1 annonceur signé,PI-2,Engagé,VS2 - Sponsor to Impression,TS1 - Monétisation,10,,
Livrer 3 templates motion design personnalisables,PI-2,Engagé,VS2 - Sponsor to Impression,TS2 - Expérience Match,6,,
Carry-over PI-1 (objectifs étendus non atteints),PI-2,Engagé,Transverse,TS1 - Monétisation,,,
Multi-écrans synchronisés (2 Pi par site),PI-3,Engagé,VS1 - Club to Screen,TS2 - Expérience Match,8,,
Marque blanche club fonctionnelle,PI-3,Engagé,VS1 - Club to Screen,TS2 - Expérience Match,6,,
Fonds de solidarité sport lancé,PI-3,Engagé,Transverse,TS3 - Acquisition,5,,
